"FDID","Fire dept name","HQ addr1","HQ addr2","HQ city","HQ state","HQ zip","Mail addr1","Mail addr2","Mail PO box","Mail city","Mail state","Mail zip","HQ phone","HQ fax","County","Dept Type","Organization Type","Website","Number Of Stations","Active Firefighters - Career","Active Firefighters - Volunteer","Active Firefighters - Paid per Call","Non-Firefighting - Civilian","Non-Firefighting - Volunteer","Primary agency for emergency mgmt"
"54005","City of Farmersville Fire Department","909 W Visalia RD",,"Farmersville","CA","93223-1843","909 W Visalia RD",,,"Farmersville","CA","93223-1843","559-747-0791","559-747-5310","Tulare","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.cityoffarmersville-ca.gov/154/Fire-Department","1","3","0","26","1","3","Yes"
"56005","City of Fillmore Fire Department","250 Central AVE",,"Fillmore","CA","93015-1907","250 Central AVE",,,"Fillmore","CA","93015-1907","805-524-1500","805-524-5707","Ventura","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","7","70","0","0","0","Yes"
"10020","City of Firebaugh Fire Department","1575 Eleventh ST",,"Firebaugh","CA","93622","1133 P ST",,,"Firebaugh","CA","93622-2230","559-659-2061","559-659-4242","Fresno","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","1","22","0","0","0","Yes"
"30025","City of Fountain Valley Fire Department","10200 Slater AVE",,"Fountain Valley","CA","92708-4736","10200 Slater AVE",,,"Fountain Valley","CA","92708-4736","714-593-4436","714-593-4508","Orange","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)",,"2","40","8","0","3","8","Yes"
"10030","City of Fresno Fire Department","911 H ST",,"Fresno","CA","93721-2510","911 H ST",,,"Fresno","CA","93721-2510","559-621-4000","559-498-4261","Fresno","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.fresno.gov/fire/","20","284","0","0","66","0","Yes"
"42010","City of Guadalupe Fire Department","918 Obispo ST",,"Guadalupe","CA","93434",,,"PO Box 908","Guadalupe","CA","93434-0908","805-356-3905","805-343-0362","Santa Barbara","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","4","2","14","0","0","Yes"
"33040","City of Hemet Fire Department","510 E Florida AVE",,"Hemet","CA","92543","510 E Florida AVE",,,"Hemet","CA","92543-4334","951-765-2450","951-765-3170","Riverside","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.cityofhemet.org/","4","47","0","0","2","0","Yes"
"03010","City of Ione Fire Department","600 Preston AVE",,"Ione","CA","95640-9717","600 Preston AVE",,,"Ione","CA","95640-9717","209-332-0859","209-274-0884","Amador","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","http://www.ione-ca.com/services/type/fire-department","2","4","0","35","0","12","Yes"
"30050","City of La Habra Fire Department","201 E La Habra  BLVD","850 W La Labra Blvd","La Habra","CA","90631","201 E La Habra  BLVD","850 W La Labra Blvd",,"La Habra","CA","90631","563-905-9894","562-905-9643","Orange","Career","Local (includes career, combination, and volunteer fire departments and fire districts)",,"3","37","0","0","3","0",
"31050","City of Lincoln Fire Department","126 Joiner PKWY",,"Lincoln","CA","95648-2359","126 Joiner PKWY",,,"Lincoln","CA","95648-2359","916-645-4040","916-434-9568","Placer","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","http://www.lincolnca.gov/","3","20","2","8","0","21","Yes"
"46010","City of Loyalton Fire Department","206 Front ST","PO Box 128","Loyalton","CA","96118-0128",,,"PO Box 128","Loyalton","CA","96118-0128","530-993-6751","530-993-6752","Sierra","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"2","0","27","0","0","4",
"24030","City of Merced Fire Department","99 E 16TH ST",,"Merced","CA","95340","99 E 16TH ST",,,"Merced","CA","95340-5020","209-385-6891","209-385-6870","Merced","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.cityofmerced.org/departments/fire","5","63","0","0","3","0","Yes"
"28010","City of Napa Fire Department","1539 1ST ST",,"Napa","CA","94559",,,"PO Box 660","Napa","CA","94559-0660","707-257-9593","707-258-7816","Napa","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.cityofnapa.org/","5","65","0","4","13","0","Yes"
"50080","City of Newman Fire Department","1162 N ST",,"Newman","CA","95360-1248","1162 N ST",,,"Newman","CA","95360-1248","209-862-1716","209-862-3525","Stanislaus","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","http://www.cityofnewman.com/","1","1","0","25","0","2","Yes"
"33060","City of Norco Fire Department","3367 Corydon AVE","","Norco","CA","92860","3367 Corydon AVE","","PO Box ","Norco","CA","92860","951-737-8097","951-734-8531","Riverside","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","","2","26","0","0","3","0",
"43060","City of Palo Alto Fire Department","250 Hamilton AVE",,"Palo Alto","CA","94301-2531","250 Hamilton AVE",,,"Palo Alto","CA","94301-2531","650-329-2184","650-327-6951","Santa Clara","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.cityofpaloalto.org/gov/depts/fir/","8","96","0","0","6","0","No"
"40055","City of Pismo Beach Fire Department","760 Mattie RD",,"Pismo Beach","CA","93449","760 Mattie RD",,,"Pismo Beach","CA","93449","805-773-7031","805-773-7035","San Luis Obispo","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://Pismo Beach. org","2","6","0","15","1","0",
"52020","City of Red Bluff Fire Department","555 Washington ST",,"Red Bluff","CA","96080","555 Washington ST STE C",,,"Red Bluff","CA","96080","530-527-1126","530-529-4768","Tehama","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.rbfd.org/","1","19","0","18","0","2","No"
"36180","City of Redlands Fire Department","35 Cajon ST STE 12",,"Redlands","CA","92373",,,"PO Box 3005","Redlands","CA","92373-1505","909-798-7600","909-798-7602","San Bernardino","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.cityofredlands.org/","4","54","6","0","4","0","Yes"
"33075","City of Riverside Fire Department","3401 University AVE",,"Riverside","CA","92501-3326","3401 University AVE",,,"Riverside","CA","92501-3326","951-826-5321","951-826-5585","Riverside","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.riversideca.gov/","14","225","0","0","22","0","Yes"
"31080","City of Rocklin Fire Department","4060 Rocklin RD",,"Rocklin","CA","95677-2722","4060 Rocklin RD",,,"Rocklin","CA","95677-2722","916-625-5300",,"Placer","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.rocklin.ca.us/","3","37","0","0","3","1","Yes"
"31085","City of Roseville Fire Department","316 Vernon ST","STE 480","Roseville","CA","95678-2655","316 Vernon ST","STE 480",,"Roseville","CA","95678-2655","916-774-5800","916-774-5810","Placer","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.roseville.ca.us/","8","111","0","0","8","0","Yes"
"36195","City of San Bernardino Fire Department","200 E 3RD ST",,"San Bernardino","CA","92410","200 E 3RD ST",,,"San Bernardino","CA","92410-4804","909-384-5286","909-384-5281","San Bernardino","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.ci.san-bernardino.ca.us/","11","121","0","0","36","0","Yes"
"37140","City of San Diego Fire-Rescue Department","600 B ST STE 1300",,"San Diego","CA","92101-4588","600 B ST STE 1300",,,"San Diego","CA","92101-4588","619-533-4300","619-544-9351","San Diego","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.sandiego.gov/fire","52","949","0","0","246","0","No"
"10140","City of San Joaquin/ Fresno County Fire District","25101 W Morton RD",,"Tranquillity","CA","93668","25101 W Morton RD",,,"Tranquillity","CA","93668","559-698-5500","559-698-5562","Fresno","Volunteer","Contract fire department","https://www.CDFFresno.com","1","0","0","10","0","0",
"56015","City of Santa Paula Fire Department","200 S 10TH ST","PO Box 569","Santa Paula","CA","93061",,,"PO Box 569","Santa Paula","CA","93061-0569","805-933-4225","805-525-6660","Ventura","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.ci.santa-paula.ca.us/fire/","2","18","35","0","8","1","Yes"
"27080","City of Seaside Fire Department","1635 Broadway AVE",,"Seaside","CA","93955-5161","1635 Broadway AVE",,,"Seaside","CA","93955-5161","831-899-6790","831-899-6261","Monterey","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.ci.seaside.ca.us/fire_department.html","1","25","8","1","1","0","Yes"
"27090","City of Soledad Fire Department","2221 Garden RD",,"Monterey","CA","93940-5317","2221 Garden RD",,,"Monterey","CA","93940-5317","831-333-4600","831-333-2660","Monterey","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.cityofsoledad.com/","1","5","0","0","0","0","Yes"
"55020","City of Sonora Fire Department","201 S Shepherd ST",,"Sonora","CA","95370-4754","201 S Shepherd ST",,,"Sonora","CA","95370-4754","209-532-7432","209-532-5936","Tuolumne","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.sonorafire.com/","1","7","3","8","2","0","Yes"
"48050","City of Suisun City Fire Department","621 Pintail DR",,"Suisun City","CA","94585-2100","621 Pintail DR",,,"Suisun City","CA","94585-2100","707-421-7205","707-421-7398","Solano","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.suisun.com/","1","8","0","20","0","0","Yes"
"43105","City of Sunnyvale Department of Public Safety - Fire Division","700 All America WAY",,"Sunnyvale","CA","94088",,,"PO Box 3707","Sunnyvale","CA","94088-3707","408-730-7100","408-730-5713","Santa Clara","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://sunnyvale.ca.gov/Departments/Public Safety/","6","195","0","0","74","0","Yes"
"19205","City of Vernon Fire Department","4305 Santa Fe AVE",,"Vernon","CA","90058-1714","4305 S Santa Fe AVE",,,"Vernon","CA","90058-1714","323-583-8811","323-826-1407","Los Angeles","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","http://www.cityofvernon.org/","4","50","0","0","3","0","Yes"
"57065","City of West Sacramento Fire Department","2040 Lake Washington BLVD",,"West Sacramento","CA","95691-6125","2040 Lake Washington BLVD",,,"West Sacramento","CA","95691-6125","916-617-4600","916-371-5017","Yolo","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.cityofwestsacramento.org/government/departments/fire","5","60","0","0","5","0","Yes"
"57020","Clarksburg Fire Protection District","52902 Clarksburg AVE",,"Clarksburg","CA","95612",,,"PO Box 513","Clarksburg","CA","95612-0513","916-744-1700",,"Yolo","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://clarksburgfire.specialdistrict.org/","1","0","20","0","0","0","Yes"
"18045","Clear Creek Fire Department","HWY 147 Clear Creek","PO Box 833","Westwood","CA","96137",,,"PO Box 833","Westwood","CA","96137","530-256-3096","530-256-3096","Lassen","Volunteer","Contract fire department",,"1","0","10","0","0","0",
"39020","Clements Rural Fire Protection District","18901 E HWY 88 HWY","PO Box 523","Clements","CA","95227","18901 E HWY 88 HWY","PO Box 523",,"Clements","CA","95227","209-759-3371","209-759-9642","San Joaquin","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","2","0","19","0","0",
"49040","Cloverdale Fire Protection District","451 S Cloverdale BLVD",,"Cloverdale","CA","95425","451 S Cloverdale BLVD",,,"Cloverdale","CA","95425-4003","707-894-3545","707-894-2014","Sonoma","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","http://www.cloverdalefiredistrict.com/","1","6","0","28","2","5","Yes"
"10005","Clovis Fire Department","1233 5TH ST",,"Clovis","CA","93612-1316","1233 5TH ST",,,"Clovis","CA","93612-1316","559-324-2200","559-324-2846","Fresno","Career","Local (includes career, combination, and volunteer fire departments and fire districts)",,"5","61","0","0","6","18","Yes"
"37818","CNRSW Federal Fire Department","PO Box 81226",,"San Diego","CA","92138-1122",,,"PO Box 81226","San Diego","CA","92138-1122","619-524-2518",,"San Diego","Career","Federal government (Department of Defense fire department)",,"13","175","0","0","0","0",
"33020","Coachella Fire Department","1377 6TH ST",,"Coachella","CA","92236-1737","1377 6TH ST",,,"Coachella","CA","92236-1737","760-398-8895","760-398-3575","Riverside","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.coachella.org/departments/fire-department","1","10","6","0","1","5","No"
"10010","Coalinga Fire Department","300 W Elm AVE",,"Coalinga","CA","93210-1926","300 W Elm AVE",,,"Coalinga","CA","93210-1926","559-935-1652","559-935-1638","Fresno","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.coalinga.com/","1","21","0","6","1","0","Yes"
"53568","Coffee Creek Volunteer Fire Department","HC 2, Box 3951",,"Trinity Center","CA","96091-9502","HC 2, Box 3951",,,"Trinity  Center","CA","96091-9502","530-266-3955",,"Trinity","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","0","6","0","0","2","Yes"
"31030","Colfax Fire Department","33 Church ST",,"Colfax","CA","95713",,,"PO Box 702","Colfax","CA","95713-0702","530-346-2323",,"Placer","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"2","0","6","0","0","0","No"
"39075","Collegeville Fire Protection District","13225 E Mariposa RD",,"Stockton","CA","95215-9651","13225 E Mariposa RD",,,"Stockton","CA","95215-9651","209-462-3883","209-462-3838","San Joaquin","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","0","12","0","0","5","Yes"
"41030","Colma Fire Protection District","50 Reiner ST",,"Colma","CA","94014","50 Reiner ST",,,"Colma","CA","94014-2552","650-755-5666","650-755-5691","San Mateo","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.colmafire.com/","1","0","0","36","1","0","No"
"55005","Columbia Fire Protection District","PO Box 311",,"Columbia","CA","95310","11328 Jackson ST",,,"Columbia","CA","95310-9403","209-532-3772","209-532-0788","Tuolumne","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","0","0","10","0","1",
"06015","Colusa Fire Department","750 Market ST",,"Colusa","CA","95932-2327","750 Market ST",,,"Colusa","CA","95932-2327","530-458-7721","530-458-5883","Colusa","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","http://www.cityofcolusa.com/","1","5","15","0","0","3","Yes"
"36825","Combat Center Fire Department","13TH ST","BLDG 2080","Twentynine Palms","CA","92278",,,"PO Box 6004","Twentynine Palms","CA","92278-6004","760-830-6871","760-830-6904","San Bernardino","Career","Federal government (Department of Defense fire department)","https://29palms.usmc.mil/dirs/inl/firedept/index.asp","3","64","0","0","1","0","No"
"63042","COMNAV Region Soutwest Federal Fire Department","190 K ST",,"Lemoore NAS","CA","93246","190 K ST",,,"Lemoore NAS","CA","93246","559-998-1705","559-998-2437","Kings","Career","Federal government (Department of Defense fire department)",,"2","43","0","0","6","0",
"23015","Comptche Volunteer Fire Department","8491 Flynn Creek RD",,"Comptche","CA","95427",,,"PO Box 164","Comptche","CA","95427-0164","707-937-2408",,"Mendocino","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://comptchefire.org/","1","0","32","0","0","0","Yes"
"19040","Compton Fire Department","201 S Acacia AVE",,"Compton","CA","90220","201 S Acacia AVE",,,"Compton","CA","90220-3102","310-605-5670","310-632-8414","Los Angeles","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.comptoncity.org/departments/fire-dept","4","72","0","0","5","1","Yes"
"07805","Concord Federal Fire Department","10 Delta ST","Station 25","Concord","CA","94520","10 Delta ST","Station 25",,"Concord","CA","94520-5000","925-246-4072",,"Contra Costa","Career","Federal government (Department of Defense fire department)",,"2","25","0","0","0","0",
"07090","Contra Costa County Fire Protection District","4005 Port Chicago HWY","STE 250","Concord","CA","94520-1180","4005 Port Chicago HWY","STE 250",,"Concord","CA","94520-1180","925-941-3300","925-941-3309","Contra Costa","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.cccfpd.org/","23","216","0","13","60","0","No"
"47054","Copco Lake Fire Department","27805 Copco RD",,"Montague","CA","96064","27805 Copco RD",,,"Montague","CA","96064","530-459-0434",,"Siskiyou","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"0","0","12","0","0","0",
"05020","Copperopolis Fire Protection District","370 Main ST",,"Copperopolis","CA","95228",,,"PO Box 131","Copperopolis","CA","95228-0131","209-785-2393","209-785-2423","Calaveras","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"3","5","25","0","0","6","Yes"
"48055","Cordelia Fire Protection District","2155 Cordelia RD",,"Fairfield","CA","94534-1667","2155 Cordelia RD",,,"Fairfield","CA","94534-1667","707-864-0468","707-864-8607","Solano","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.cordeliafire.org/","2","4","20","0","0","1","No"
"52005","Corning Volunteer Fire Department","814 5TH ST",,"Corning","CA","96021-3065","814 5TH ST",,,"Corning","CA","96021-3065","530-824-7044","530-824-7042","Tehama","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","1","35","0","4","0","Yes"
"33025","Corona Fire Department","735 Public Safety WAY",,"Corona","CA","92880",,,"PO Box 940","Corona","CA","92878-0940","951-736-2220","951-736-2497","Riverside","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.discovercorona.com/City-Departments/Fire-Department.aspx","7","112","0","0","8","10","Yes"
"37045","Coronado Fire Department","1001 6TH ST",,"Coronado","CA","92118","1001 6TH ST",,,"Coronado","CA","92118-1711","619-522-7374","619-435-2742","San Diego","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.coronado.ca.us/department/?fDD=8-0","2","31","0","0","3","0","Yes"
"27410","Correctional Training Facility Fire Department","Hwy 101 5 Miles North of Soledad","PO Box 686","Soledad","CA","93960",,,"PO Box 686","Soledad","CA","93960-0686","831-678-5550","831-678-5858","Monterey","Mostly volunteer","State government (includes state forest fire agencies and state institution fire departments)",,"1","5","6","0","0","0","Yes"
"21015","Corte Madera Fire Department","342 Tamalpais DR",,"Corte Madera","CA","94925","342 Tamalpais DR",,,"Corte Madera","CA","94925-1492","415-927-5077","415-927-5788","Marin","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.ci.corte-madera.ca.us/","2","20","6","0","1","0","Yes"
"07125","Corteva Agriscience","901 Loveridge RD",,"Pittsburg","CA","94565","901 Loveridge RD",,,"Pittsburg","CA","94565-2811","925-432-5278","925-432-5975","Contra Costa","Career","Private or industrial fire brigade",,"1","50","0","0","0","0","No"
"30020","Costa Mesa Fire & Rescue Department","77 Fair DR","PO Box 1200","Costa Mesa","CA","92628",,,"PO Box 1200","Costa Mesa","CA","92628-1200","714-754-5106","714-754-4944","Orange","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.costamesaca.gov/city-hall/city-departments/fire-rescue","6","84","0","0","10","6","Yes"
"34020","Cosumnes Community Services District Fire Department","10573 E Stockton BLVD",,"Elk Grove","CA","95624-9743","10573 E Stockton BLVD",,,"Elk Grove","CA","95624-9743","916-405-7100","916-685-6622","Sacramento","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.yourcsd.com/101/Fire","9","164","0","0","27","0","Yes"
"45035","Cottonwood Fire Protection District","3271 Brush ST",,"Cottonwood","CA","96022",,,"PO Box 618","Cottonwood","CA","96022-0618","530-347-4737","530-347-4771","Shasta","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.cottonwoodfd.com/","1","3","18","3","1","2","No"
"34015","Courtland Fire Protection District","154 Magnolia AVE",,"Courtland","CA","95615",,,"PO Box 163","Courtland","CA","95615-0163","916-775-1210","916-775-1210","Sacramento","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://courtlandfire.com/","2","0","0","21","1","0","Yes"
"23020","Covelo Fire Protection District","PO Box 36",,"Covelo","CA","95428-0036",,,"PO Box 36","Covelo","CA","95428-0036","707-983-6719",,"Mendocino","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","0","21","0","0","0","Yes"
"08010","Crescent Fire Protection District","255 W Washington BLVD",,"Crescent City","CA","95531-8323","255 W Washington BLVD",,,"Crescent City","CA","95531-8323","707-464-2421","707-464-5813","Del Norte","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"3","1","0","28","1","0",
"07030","Crockett-Carquinez Fire Department","746 Loring AVE",,"Crockett","CA","94525-1236","746 Loring AVE",,,"Crockett","CA","94525-1236","510-787-2717","510-787-2723","Contra Costa","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"3","0","0","45","0","0","No"
"19050","Culver City Fire Department","9770 Culver BLVD","PO Box 507","Culver City","CA","90232",,,"PO Box 507","Culver City","CA","90232-0507","310-253-5900","310-253-5901","Los Angeles","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.culvercity.org/fire","3","67","0","0","12","0","Yes"
"27024","Cypress Fire Protection District","2221 Garden RD",,"Monterey","CA","93940-5317","2221 Garden RD",,,"Monterey","CA","93940-5317","831-333-4600","831-333-2660","Monterey","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://cypressfire.org/","2","18","0","0","0","0","Yes"
"36080","Daggett Volunteer Fire Department","33702  2nd  ST","PO Box 308","Daggett","CA","92327","33702  2nd  ST",,"PO Box 308","Daggett","CA","92327","760-254-5474","760-254-2415","San Bernardino","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"3","0","20","0","0","28",
"25030","Davis Creek Volunteer Fire Department","1130 County Road 133B","PO Box 37","Davis Creek","CA","96108-0037",,,"PO Box 37","Davis Creek","CA","96108-0037","530-233-5521",,"Modoc","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","0","12","0","0","0",
"37052","De Luz Volunteer Fire Department","39536 Daily RD",,"Fallbrook","CA","92028","40020 Cathy DR",,,"Fallbrook","CA","92028-9745","760-728-3300","760-728-3140","San Diego","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.deluzvfd.org/","1","0","20","0","0","10","Yes"
"14017","Death Valley National Park","PO Box 579",,"Death Valley","CA","92328",,,"PO Box 579","Death Valley","CA","92328-0579","760-786-3260",,"Inyo","Mostly volunteer","Federal government (Executive branch agency fire department)","www.nps.gov/deva","2","3","0","12","0","0","Yes"
"37148","Deer Springs Fire Protection District","8709 Circle R DR",,"Escondido","CA","92026-5802","8709 Circle R DR",,,"Escondido","CA","92026-5802","760-749-8001","760-749-6572","San Diego","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","http://www.deerspringsfire.org/","3","25","0","0","1","0","Yes"
"37050","Del Mar Fire Department","2200 Jimmy Durante BLVD",,"Del Mar","CA","92014-2216","2200 Jimmy Durante BLVD",,,"Del Mar","CA","92014-2216","858-755-1522","858-259-2749","San Diego","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.delmar.ca.us/134/Fire-Department","1","14","0","15","1","0","Yes"
"34130","Delta Fire Protection District","350 Main ST","","Rio Vista","CA","94571","350 Main ST","","PO Box ","Rio Vista","CA","94571","707-374-2233","707-374-6324","Solano","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","3","12","10","1","2",
"50015","Denair Volunteer Fire Department","3918 Gratton RD","PO Box 262","Denair","CA","95316",,,"PO Box 262","Denair","CA","95316-0262","209-632-5032","209-632-1488","Stanislaus","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","1","25","0","0","0","Yes"
"33030","Desert Hot Springs Fire Service","65958 Pierson BLVD",,"Desert Hot Springs","CA","92240","65958 Pierson BLVD",,,"Desert Hot Springs","CA","92240","760-329-2458","760-329-6136","Riverside","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","9","0","20","0","0",
"39410","Deuel Vocational Institution Fire Department","23500 Kasson RD",,"Tracy","CA","95304","23500 Kasson RD",,,"Tracy","CA","95304-9595","209-835-4141","209-830-3804","San Joaquin","Mostly volunteer","State government (includes state forest fire agencies and state institution fire departments)",,"1","5","10","0","0","0",
"09005","Diamond Springs - El Dorado Fire Protection District","501 Pleasant Valley RD",,"Diamond Springs","CA","95619-9517","501 Pleasant Valley RD",,,"Diamond Springs","CA","95619-9517","530-626-3190","530-626-3188","El Dorado","Career","Local (includes career, combination, and volunteer fire departments and fire districts)","http://www.diamondfire.org/","5","22","0","0","0","0","Yes"
"48015","Dixon Fire Department","205 Ford WAY",,"DIXON","CA","95620-3162","205 Ford WAY",,,"Dixon","CA","95620-3162","707-678-7060","707-678-4251","Solano","Mostly career","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.cityofdixon.us/departments/Fire","1","26","10","0","2","0","Yes"
"58003","Dobbins/Oregon House Fire Protection District","9162 Marysville Rd","PO Box 164","Oregon House","CA","95962","9162 Marysville Rd","PO Box 164",,"Oregon House","CA","95962","530-692-2255",,"Yuba","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","0","16","0","0","2",
"29080","Donner Summit Fire Department","53823 Sherritt LN","PO Box 610","Soda Springs","CA","95728-0610",,,"PO Box 610","Soda Springs","CA","95728-0610","530-428-3000","530-426-0508","Nevada","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"2","7","18","4","0","0",
"24010","Dos Palos Fire Department","1540 Golden Gate AVE","","Dos Palos","CA","93620","1540 Golden Gate AVE","","PO Box ","Dos Palos","CA","93620","209-392-2081","209-392-2801","Merced","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","","1","1","0","15","0","0",
"53001","Douglas City Fire Department","Steiner Flat RD","PO Box 10","Douglas City","CA","96024-0010","Steiner Flat RD",,"PO Box 10","Douglas City","CA","96024","530-623-5110","530-623-9420","Trinity","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"2","0","15","0","0","2",
"46005","Downieville Fire Protection District","321 Main  ST","PO Box 25","Downieville","CA","95936",,,"PO Box 25","Downieville","CA","95936-0025","530-289-3333","530-289-0114","Sierra","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","0","20","0","0","17","Yes"
"53002","Downriver Volunteer Fire Company","70 Fire House RD",,"Big Bar","CA","96010",,,"PO Box 608","Big Bar","CA","96010-0608","530-623-5431","530-623-5431","Trinity","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","0","7","0","0","0","Yes"
"18015","Doyle Fire Protection District","747-150 E Main ST","PO Box 189","Doyle","CA","96109-0189","747-150 E Main ST","PO Box 189",,"Doyle","CA","96109-0189","530-827-2681","530-827-2681","Lassen","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","0","13","0","0","0",
"49046","Dry Creek Rancheria Fire Department","3250 Highway 128",,"Geyserville","CA","95441-8908","3250 Highway 128",,,"Geyserville","CA","95441-8908","707-814-4390",,"Sonoma","Mostly volunteer","Tribal government (includes Native American and Alaska Native tribal fire departments)","www.dcrfire.org","1","7","20","0","0","1","Yes"
"57040","Dunnigan Fire Protection District","29145 Main ST",,"Dunnigan","CA","95937",,,"PO Box 213","Dunnigan","CA","95937-0213","530-724-3515","530-724-3511","Yolo","Mostly volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)","https://www.dunniganfire.com/","1","3","30","0","1","5","Yes"
"47010","Dunsmuir Fire Department","5902 Dunsmuir AVE",,"Dunsmuir","CA","96025","5902 Dunsmuir AVE",,,"Dunsmuir","CA","96025","530-235-2551","530-235-0617","Siskiyou","Volunteer","Local (includes career, combination, and volunteer fire departments and fire districts)",,"1","0","28","0","0","0",
