,Unnamed: 0,FDID,Fire dept name,HQ addr1,HQ addr2,HQ city,HQ state,HQ zip,Mail addr1,Mail addr2,Mail PO box,Mail city,Mail state,Mail zip,HQ phone,HQ fax,County,Dept Type,Organization Type,Website,Number Of Stations,Active Firefighters - Career,Active Firefighters - Volunteer,Active Firefighters - Paid per Call,Non-Firefighting - Civilian,Non-Firefighting - Volunteer,Primary agency for emergency mgmt,Full_Address,Coordinates_Firestation,Latitude,Longitude
136,136,05060,Central Calaveras Fire & Rescue Protection District,19927 Jesus Maria RD,,Mokelumne Hill,CA,95245,19927 Jesus Maria RD,,,Mokelumne Hill,CA,95245-9560,209-754-4330,,Calaveras,Mostly volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.centralcalaverasfire.org,5,4,15,18,1,2,No,"19927 Jesus Maria RD, Mokelumne Hill, CA","(38.284301, -120.511721)",38.284301,-120.511721
137,137,20415,Central California Women's Facility Valley State Prison for Women Fire Department,23370 Road 22,,Chowchilla,CA,93610,,,PO Box 1501,Chowchilla,CA,93610-1501,559-665-5531,559-665-8107,Madera,Career,State government (includes state forest fire agencies and state institution fire departments),,1,16,0,0,1,0,No,"23370 Road 22, Chowchilla, CA","(37.090118, -120.149838)",37.090118,-120.149838
138,138,41556,Central County Fire Department,1399 Rollins RD,,Burlingame,CA,94010-2409,1399 Rollins RD,,,Burlingame,CA,94010-2409,650-558-7600,650-344-9950,San Mateo,Career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.ccfdonline.org/,6,84,0,0,4,0,Yes,"1399 Rollins RD, Burlingame, CA","(37.590881, -122.367282)",37.590881,-122.367282
139,139,44065,Central Fire District of Santa Cruz County,930 17TH AVE,,Santa Cruz,CA,95062,930 17TH AVE,,,Santa Cruz,CA,95062-4125,831-479-6842,831-479-6848,Santa Cruz,Mostly career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://centralfiresc.org,7,82,0,25,21,0,No,"930 17TH AVE, Santa Cruz, CA","(36.967871, -121.984393)",36.967871,-121.984393
140,140,50005,Ceres Fire Department,2755 3RD ST,,Ceres,CA,95307-3219,2755 3RD ST,,,Ceres,CA,95307-3219,209-538-5701,209-538-5681,Stanislaus,Career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.ci.ceres.ca.us/173/Fire,3,31,0,0,1,0,Yes,"2755 3RD ST, Ceres, CA","(37.591915, -120.954916)",37.591915,-120.954916
141,141,26012,Chalfant Valley Fire Department,215 Valley RD,,Chalfant Valley,CA,93514,215 Valley RD,,,Chalfant Valley,CA,93514,760-873-5402,,Mono,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,0,16,0,0,0,,"215 Valley RD, Chalfant Valley, CA","(37.528307, -118.374098)",37.528307,-118.374098
142,142,32010,Chester Fire Department,251 Chester Airport RD,PO Box 177,Chester,CA,96020,,,PO Box 177,Chester,CA,96020-0177,530-258-3456,530-258-2064,Plumas,Mostly volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,8,4,8,1,0,Yes,"251 Chester Airport RD, Chester, CA","(40.291045, -121.240689)",40.291045,-121.240689
143,143,07140,Chevron Fire Department,841 Chevron WAY,,Richmond,CA,94801,,,PO Box 1272,Richmond,CA,94802-0272,510-242-4200,510-242-5853,Contra Costa,Mostly volunteer,Private or industrial fire brigade,,1,31,60,0,0,0,No,"841 Chevron WAY, Richmond, CA","(37.932811, -122.393806)",37.932811,-122.393806
144,144,36058,Chino Valley Independent Fire District,14011 City Center DR,,Chino Hills,CA,91709-5442,14011 City Center DR,,,Chino Hills,CA,91709-5442,909-902-5260,,San Bernardino,Career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://chinovalleyfire.org/,7,105,0,0,27,15,No,"14011 City Center DR, Chino Hills, CA","(33.997886, -117.729776)",33.997886,-117.729776
145,145,20005,Chowchilla Fire Department,240 N 1ST ST,,Chowchilla,CA,93610-2951,240 N 1ST ST,,,Chowchilla,CA,93610-2951,559-665-8626,559-665-8627,Madera,Mostly volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.cityofchowchilla.org/168/Fire-Department,1,2,25,0,0,0,Yes,"240 N 1ST ST, Chowchilla, CA","(37.125104, -120.260494)",37.125104,-120.260494
146,146,33415,Chuckawalla Valley State Prison (CDCR) Fire Department,1515 S ST,,Sacramento,CA,95581,19025 Wileys Well RD,,,Blythe,CA,92225-2287,760-922-5300,,Riverside,Mostly career,State government (includes state forest fire agencies and state institution fire departments),,27,19,0,4,0,0,Yes,"1515 S ST, Sacramento, CA","(38.5686, -121.489852)",38.5686,-121.489852
147,147,37030,Chula Vista Fire Department,276 4TH AVE BLDG C,,Chula Vista,CA,91910-2631,276 4TH AVE BLDG C,,,Chula Vista,CA,91910-2631,619-691-5055,619-691-5204,San Diego,Career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.chulavistaca.gov/,9,116,0,0,22,0,Yes,"276 4TH AVE BLDG C, Chula Vista, CA","(32.64055, -117.084908)",32.64055,-117.084908
148,148,01005,City of Alameda Fire Department,1300 Park ST,,Alameda,CA,94501-4508,1300 Park ST,,,Alameda,CA,94501-4508,510-337-2100,510-521-7851,Alameda,Career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.alamedaca.gov/Departments/Fire-Department,4,110,0,0,10,73,Yes,"1300 Park ST, Alameda, CA","(37.762757, -122.243812)",37.762757,-122.243812
149,149,25010,City of Alturas Fire Department,103 S Howard ST,,Alturas,CA,96101,103 S Howard ST,,,Alturas,CA,96101-3927,530-233-4500,530-233-3559,Modoc,Mostly volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,1,40,0,0,0,No,"103 S Howard ST, Alturas, CA","(41.483963, -120.543783)",41.483963,-120.543783
150,150,13005,City of Brawley Fire Department,1505 Jones ST,,Brawley,CA,92227-1700,1505 Jones ST,,,Brawley,CA,92227-1700,760-351-9110,760-351-9456,Imperial,Mostly volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,2,17,0,25,0,0,Yes,"1505 Jones ST, Brawley, CA","(32.989138, -115.517266)",32.989138,-115.517266
151,151,19030,City of Burbank Fire Department,311 E Orange Grove AVE,,Burbank,CA,91502-1221,311 E Orange Grove AVE,,,Burbank,CA,91502-1221,818-238-3473,818-238-3479,Los Angeles,Career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://burbankfire.us/,6,120,0,0,16,0,Yes,"311 E Orange Grove AVE, Burbank, CA","(34.183382, -118.308664)",34.183382,-118.308664
152,152,04010,City of Chico Fire Department,411 Main ST,,Chico,CA,95928,,,PO Box 3420,Chico,CA,95927-3420,530-897-3400,530-895-4825,Butte,Mostly career,"Local (includes career, combination, and volunteer fire departments and fire districts)",http://www.chico.ca.us/fire/home_page.asp,5,57,6,0,2,0,Yes,"411 Main ST, Chico, CA","(39.729148, -121.837654)",39.729148,-121.837654
153,153,36065,City of Colton Fire Department,303 E 'E' ST,,COLTON,CA,92324-2854,303 E 'E' ST,,,Colton,CA,92324-2854,909-370-5100,909-370-6146,San Bernardino,Career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.coltonfire.com/index.cfm?section=1,4,40,0,0,2,2,Yes,"303 E 'E' ST, COLTON, CA","(34.071035, -117.319863)",34.071035,-117.319863
154,154,57025,City of Davis Fire Department,530 5TH ST,,Davis,CA,95616-4109,530 5TH ST,,,Davis,CA,95616-4109,530-757-5684,530-757-5685,Yolo,Career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://cityofdavis.org/fire/,3,50,0,0,2,0,Yes,"530 5TH ST, Davis, CA","(38.546839, -121.742456)",38.546839,-121.742456
155,155,54010,City of Dinuba Fire Department,420 E Tulare ST,,Dinuba,CA,93618,420 E Tulare ST,,,Dinuba,CA,93618-2309,559-591-5931,559-591-5934,Tulare,Mostly career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.dinuba.org/index.php/residents/emergency-services/fire-department,1,26,0,20,2,0,Yes,"420 E Tulare ST, Dinuba, CA","(36.543077, -119.386753)",36.543077,-119.386753
156,156,19055,City of Downey Fire Department,11111 Brookshire AVE,PO Box 7016,Downey,CA,90241,,,PO Box 7016,Downey,CA,90241-7016,562-904-7344,562-869-3994,Los Angeles,Mostly career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.downeyca.org/our-city/departments/fire,4,68,4,0,40,25,Yes,"11111 Brookshire AVE, Downey, CA","(33.940351, -118.128615)",33.940351,-118.128615
157,157,54005,City of Farmersville Fire Department,909 W Visalia RD,,Farmersville,CA,93223-1843,909 W Visalia RD,,,Farmersville,CA,93223-1843,559-747-0791,559-747-5310,Tulare,Mostly volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.cityoffarmersville-ca.gov/154/Fire-Department,1,3,0,26,1,3,Yes,"909 W Visalia RD, Farmersville, CA","(36.297361, -119.215316)",36.297361,-119.215316
158,158,56005,City of Fillmore Fire Department,250 Central AVE,,Fillmore,CA,93015-1907,250 Central AVE,,,Fillmore,CA,93015-1907,805-524-1500,805-524-5707,Ventura,Mostly volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,7,70,0,0,0,Yes,"250 Central AVE, Fillmore, CA","(34.398599, -118.91238)",34.398599,-118.91238
159,159,10020,City of Firebaugh Fire Department,1575 Eleventh ST,,Firebaugh,CA,93622,1133 P ST,,,Firebaugh,CA,93622-2230,559-659-2061,559-659-4242,Fresno,Mostly volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,1,22,0,0,0,Yes,"1575 Eleventh ST, Firebaugh, CA","(36.85928, -120.45637)",36.85928,-120.45637
160,160,30025,City of Fountain Valley Fire Department,10200 Slater AVE,,Fountain Valley,CA,92708-4736,10200 Slater AVE,,,Fountain Valley,CA,92708-4736,714-593-4436,714-593-4508,Orange,Mostly career,"Local (includes career, combination, and volunteer fire departments and fire districts)",,2,40,8,0,3,8,Yes,"10200 Slater AVE, Fountain Valley, CA","(33.708093, -117.950885)",33.708093,-117.950885
161,161,10030,City of Fresno Fire Department,911 H ST,,Fresno,CA,93721-2510,911 H ST,,,Fresno,CA,93721-2510,559-621-4000,559-498-4261,Fresno,Career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.fresno.gov/fire/,20,284,0,0,66,0,Yes,"911 H ST, Fresno, CA","(36.732053, -119.79211)",36.732053,-119.79211
162,162,42010,City of Guadalupe Fire Department,918 Obispo ST,,Guadalupe,CA,93434,,,PO Box 908,Guadalupe,CA,93434-0908,805-356-3905,805-343-0362,Santa Barbara,Mostly volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,4,2,14,0,0,Yes,"918 Obispo ST, Guadalupe, CA","(34.969472, -120.569004)",34.969472,-120.569004
163,163,33040,City of Hemet Fire Department,510 E Florida AVE,,Hemet,CA,92543,510 E Florida AVE,,,Hemet,CA,92543-4334,951-765-2450,951-765-3170,Riverside,Career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.cityofhemet.org/,4,47,0,0,2,0,Yes,"510 E Florida AVE, Hemet, CA","(33.747812, -116.967058)",33.747812,-116.967058
164,164,03010,City of Ione Fire Department,600 Preston AVE,,Ione,CA,95640-9717,600 Preston AVE,,,Ione,CA,95640-9717,209-332-0859,209-274-0884,Amador,Mostly volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",http://www.ione-ca.com/services/type/fire-department,2,4,0,35,0,12,Yes,"600 Preston AVE, Ione, CA","(38.35686, -120.93778)",38.35686,-120.93778
165,165,30050,City of La Habra Fire Department,201 E La Habra  BLVD,850 W La Labra Blvd,La Habra,CA,90631,201 E La Habra  BLVD,850 W La Labra Blvd,,La Habra,CA,90631,563-905-9894,562-905-9643,Orange,Career,"Local (includes career, combination, and volunteer fire departments and fire districts)",,3,37,0,0,3,0,,"201 E La Habra  BLVD, La Habra, CA","(33.93154, -117.945856)",33.93154,-117.945856
166,166,31050,City of Lincoln Fire Department,126 Joiner PKWY,,Lincoln,CA,95648-2359,126 Joiner PKWY,,,Lincoln,CA,95648-2359,916-645-4040,916-434-9568,Placer,Mostly career,"Local (includes career, combination, and volunteer fire departments and fire districts)",http://www.lincolnca.gov/,3,20,2,8,0,21,Yes,"126 Joiner PKWY, Lincoln, CA","(38.885764, -121.314198)",38.885764,-121.314198
167,167,46010,City of Loyalton Fire Department,206 Front ST,PO Box 128,Loyalton,CA,96118-0128,,,PO Box 128,Loyalton,CA,96118-0128,530-993-6751,530-993-6752,Sierra,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,2,0,27,0,0,4,,"206 Front ST, Loyalton, CA","(39.674396, -120.241178)",39.674396,-120.241178
168,168,24030,City of Merced Fire Department,99 E 16TH ST,,Merced,CA,95340,99 E 16TH ST,,,Merced,CA,95340-5020,209-385-6891,209-385-6870,Merced,Career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.cityofmerced.org/departments/fire,5,63,0,0,3,0,Yes,"99 E 16TH ST, Merced, CA","(37.297233, -120.474788)",37.297233,-120.474788
169,169,28010,City of Napa Fire Department,1539 1ST ST,,Napa,CA,94559,,,PO Box 660,Napa,CA,94559-0660,707-257-9593,707-258-7816,Napa,Mostly career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.cityofnapa.org/,5,65,0,4,13,0,Yes,"1539 1ST ST, Napa, CA","(38.296837, -122.290311)",38.296837,-122.290311
170,170,50080,City of Newman Fire Department,1162 N ST,,Newman,CA,95360-1248,1162 N ST,,,Newman,CA,95360-1248,209-862-1716,209-862-3525,Stanislaus,Mostly volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",http://www.cityofnewman.com/,1,1,0,25,0,2,Yes,"1162 N ST, Newman, CA","(37.317997, -121.021919)",37.317997,-121.021919
171,171,33060,City of Norco Fire Department,3367 Corydon AVE,,Norco,CA,92860,3367 Corydon AVE,,PO Box ,Norco,CA,92860,951-737-8097,951-734-8531,Riverside,Career,"Local (includes career, combination, and volunteer fire departments and fire districts)",,2,26,0,0,3,0,,"3367 Corydon AVE, Norco, CA","(33.929523, -117.579061)",33.929523,-117.579061
172,172,43060,City of Palo Alto Fire Department,250 Hamilton AVE,,Palo Alto,CA,94301-2531,250 Hamilton AVE,,,Palo Alto,CA,94301-2531,650-329-2184,650-327-6951,Santa Clara,Career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.cityofpaloalto.org/gov/depts/fir/,8,96,0,0,6,0,No,"250 Hamilton AVE, Palo Alto, CA","(37.444377, -122.159979)",37.444377,-122.159979
173,173,40055,City of Pismo Beach Fire Department,760 Mattie RD,,Pismo Beach,CA,93449,760 Mattie RD,,,Pismo Beach,CA,93449,805-773-7031,805-773-7035,San Luis Obispo,Mostly volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://Pismo Beach. org,2,6,0,15,1,0,,"760 Mattie RD, Pismo Beach, CA","(35.157653, -120.668596)",35.157653,-120.668596
174,174,52020,City of Red Bluff Fire Department,555 Washington ST,,Red Bluff,CA,96080,555 Washington ST STE C,,,Red Bluff,CA,96080,530-527-1126,530-529-4768,Tehama,Mostly career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.rbfd.org/,1,19,0,18,0,2,No,"555 Washington ST, Red Bluff, CA","(40.175663, -122.235239)",40.175663,-122.235239
175,175,36180,City of Redlands Fire Department,35 Cajon ST STE 12,,Redlands,CA,92373,,,PO Box 3005,Redlands,CA,92373-1505,909-798-7600,909-798-7602,San Bernardino,Mostly career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.cityofredlands.org/,4,54,6,0,4,0,Yes,"35 Cajon ST STE 12, Redlands, CA","(34.055321, -117.182335)",34.055321,-117.182335
176,176,33075,City of Riverside Fire Department,3401 University AVE,,Riverside,CA,92501-3326,3401 University AVE,,,Riverside,CA,92501-3326,951-826-5321,951-826-5585,Riverside,Career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.riversideca.gov/,14,225,0,0,22,0,Yes,"3401 University AVE, Riverside, CA","(33.980716, -117.3711)",33.980716,-117.3711
177,177,31080,City of Rocklin Fire Department,4060 Rocklin RD,,Rocklin,CA,95677-2722,4060 Rocklin RD,,,Rocklin,CA,95677-2722,916-625-5300,,Placer,Career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.rocklin.ca.us/,3,37,0,0,3,1,Yes,"4060 Rocklin RD, Rocklin, CA","(38.789189, -121.233426)",38.789189,-121.233426
178,178,31085,City of Roseville Fire Department,316 Vernon ST,STE 480,Roseville,CA,95678-2655,316 Vernon ST,STE 480,,Roseville,CA,95678-2655,916-774-5800,916-774-5810,Placer,Career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.roseville.ca.us/,8,111,0,0,8,0,Yes,"316 Vernon ST, Roseville, CA","(38.748964, -121.284698)",38.748964,-121.284698
179,179,36195,City of San Bernardino Fire Department,200 E 3RD ST,,San Bernardino,CA,92410,200 E 3RD ST,,,San Bernardino,CA,92410-4804,909-384-5286,909-384-5281,San Bernardino,Career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.ci.san-bernardino.ca.us/,11,121,0,0,36,0,Yes,"200 E 3RD ST, San Bernardino, CA","(34.104928, -117.282537)",34.104928,-117.282537
180,180,37140,City of San Diego Fire-Rescue Department,600 B ST STE 1300,,San Diego,CA,92101-4588,600 B ST STE 1300,,,San Diego,CA,92101-4588,619-533-4300,619-544-9351,San Diego,Career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.sandiego.gov/fire,52,949,0,0,246,0,No,"600 B ST STE 1300, San Diego, CA","(32.716861, -117.164238)",32.716861,-117.164238
181,181,10140,City of San Joaquin/ Fresno County Fire District,25101 W Morton RD,,Tranquillity,CA,93668,25101 W Morton RD,,,Tranquillity,CA,93668,559-698-5500,559-698-5562,Fresno,Volunteer,Contract fire department,https://www.CDFFresno.com,1,0,0,10,0,0,,"25101 W Morton RD, Tranquillity, CA","(36.6429, -120.24522)",36.6429,-120.24522
182,182,56015,City of Santa Paula Fire Department,200 S 10TH ST,PO Box 569,Santa Paula,CA,93061,,,PO Box 569,Santa Paula,CA,93061-0569,805-933-4225,805-525-6660,Ventura,Mostly volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.ci.santa-paula.ca.us/fire/,2,18,35,0,8,1,Yes,"200 S 10TH ST, Santa Paula, CA","(34.35182, -119.05911)",34.35182,-119.05911
183,183,27080,City of Seaside Fire Department,1635 Broadway AVE,,Seaside,CA,93955-5161,1635 Broadway AVE,,,Seaside,CA,93955-5161,831-899-6790,831-899-6261,Monterey,Mostly career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.ci.seaside.ca.us/fire_department.html,1,25,8,1,1,0,Yes,"1635 Broadway AVE, Seaside, CA","(36.609196, -121.829359)",36.609196,-121.829359
184,184,27090,City of Soledad Fire Department,2221 Garden RD,,Monterey,CA,93940-5317,2221 Garden RD,,,Monterey,CA,93940-5317,831-333-4600,831-333-2660,Monterey,Career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.cityofsoledad.com/,1,5,0,0,0,0,Yes,"2221 Garden RD, Monterey, CA","(36.587325, -121.859325)",36.587325,-121.859325
185,185,55020,City of Sonora Fire Department,201 S Shepherd ST,,Sonora,CA,95370-4754,201 S Shepherd ST,,,Sonora,CA,95370-4754,209-532-7432,209-532-5936,Tuolumne,Mostly volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.sonorafire.com/,1,7,3,8,2,0,Yes,"201 S Shepherd ST, Sonora, CA","(37.98267, -120.38095)",37.98267,-120.38095
186,186,48050,City of Suisun City Fire Department,621 Pintail DR,,Suisun City,CA,94585-2100,621 Pintail DR,,,Suisun City,CA,94585-2100,707-421-7205,707-421-7398,Solano,Mostly volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.suisun.com/,1,8,0,20,0,0,Yes,"621 Pintail DR, Suisun City, CA","(38.248242, -122.008519)",38.248242,-122.008519
187,187,43105,City of Sunnyvale Department of Public Safety - Fire Division,700 All America WAY,,Sunnyvale,CA,94088,,,PO Box 3707,Sunnyvale,CA,94088-3707,408-730-7100,408-730-5713,Santa Clara,Career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://sunnyvale.ca.gov/Departments/Public Safety/,6,195,0,0,74,0,Yes,"700 All America WAY, Sunnyvale, CA","(37.370425, -122.03986)",37.370425,-122.03986
188,188,19205,City of Vernon Fire Department,4305 Santa Fe AVE,,Vernon,CA,90058-1714,4305 S Santa Fe AVE,,,Vernon,CA,90058-1714,323-583-8811,323-826-1407,Los Angeles,Career,"Local (includes career, combination, and volunteer fire departments and fire districts)",http://www.cityofvernon.org/,4,50,0,0,3,0,Yes,"4305 Santa Fe AVE, Vernon, CA","(34.004969, -118.231216)",34.004969,-118.231216
189,189,57065,City of West Sacramento Fire Department,2040 Lake Washington BLVD,,West Sacramento,CA,95691-6125,2040 Lake Washington BLVD,,,West Sacramento,CA,95691-6125,916-617-4600,916-371-5017,Yolo,Career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.cityofwestsacramento.org/government/departments/fire,5,60,0,0,5,0,Yes,"2040 Lake Washington BLVD, West Sacramento, CA","(38.552323, -121.535374)",38.552323,-121.535374
190,190,57020,Clarksburg Fire Protection District,52902 Clarksburg AVE,,Clarksburg,CA,95612,,,PO Box 513,Clarksburg,CA,95612-0513,916-744-1700,,Yolo,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://clarksburgfire.specialdistrict.org/,1,0,20,0,0,0,Yes,"52902 Clarksburg AVE, Clarksburg, CA","(38.41998, -121.52965)",38.41998,-121.52965
191,191,18045,Clear Creek Fire Department,HWY 147 Clear Creek,PO Box 833,Westwood,CA,96137,,,PO Box 833,Westwood,CA,96137,530-256-3096,530-256-3096,Lassen,Volunteer,Contract fire department,,1,0,10,0,0,0,,"HWY 147 Clear Creek, Westwood, CA","(40.29514, -121.05672)",40.29514,-121.05672
192,192,39020,Clements Rural Fire Protection District,18901 E HWY 88 HWY,PO Box 523,Clements,CA,95227,18901 E HWY 88 HWY,PO Box 523,,Clements,CA,95227,209-759-3371,209-759-9642,San Joaquin,Mostly volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,2,0,19,0,0,,"18901 E HWY 88 HWY, Clements, CA","(38.192326, -121.086073)",38.192326,-121.086073
193,193,49040,Cloverdale Fire Protection District,451 S Cloverdale BLVD,,Cloverdale,CA,95425,451 S Cloverdale BLVD,,,Cloverdale,CA,95425-4003,707-894-3545,707-894-2014,Sonoma,Mostly volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",http://www.cloverdalefiredistrict.com/,1,6,0,28,2,5,Yes,"451 S Cloverdale BLVD, Cloverdale, CA","(38.799481, -123.017589)",38.799481,-123.017589
194,194,10005,Clovis Fire Department,1233 5TH ST,,Clovis,CA,93612-1316,1233 5TH ST,,,Clovis,CA,93612-1316,559-324-2200,559-324-2846,Fresno,Career,"Local (includes career, combination, and volunteer fire departments and fire districts)",,5,61,0,0,6,18,Yes,"1233 5TH ST, Clovis, CA","(36.824518, -119.693207)",36.824518,-119.693207
195,195,37818,CNRSW Federal Fire Department,PO Box 81226,,San Diego,CA,92138-1122,,,PO Box 81226,San Diego,CA,92138-1122,619-524-2518,,San Diego,Career,Federal government (Department of Defense fire department),,13,175,0,0,0,0,,"PO Box 81226, San Diego, CA","(51.0925711, -113.9342391)",51.0925711,-113.9342391
196,196,33020,Coachella Fire Department,1377 6TH ST,,Coachella,CA,92236-1737,1377 6TH ST,,,Coachella,CA,92236-1737,760-398-8895,760-398-3575,Riverside,Mostly career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.coachella.org/departments/fire-department,1,10,6,0,1,5,No,"1377 6TH ST, Coachella, CA","(33.678137, -116.178144)",33.678137,-116.178144
197,197,10010,Coalinga Fire Department,300 W Elm AVE,,Coalinga,CA,93210-1926,300 W Elm AVE,,,Coalinga,CA,93210-1926,559-935-1652,559-935-1638,Fresno,Mostly career,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.coalinga.com/,1,21,0,6,1,0,Yes,"300 W Elm AVE, Coalinga, CA","(36.137647, -120.362577)",36.137647,-120.362577
198,198,53568,Coffee Creek Volunteer Fire Department,"HC 2, Box 3951",,Trinity Center,CA,96091-9502,"HC 2, Box 3951",,,Trinity  Center,CA,96091-9502,530-266-3955,,Trinity,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,0,6,0,0,2,Yes,"HC 2, Box 3951, Trinity Center, CA","(40.980991, -122.703506)",40.980991,-122.703506
199,199,31030,Colfax Fire Department,33 Church ST,,Colfax,CA,95713,,,PO Box 702,Colfax,CA,95713-0702,530-346-2323,,Placer,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,2,0,6,0,0,0,No,"33 Church ST, Colfax, CA","(39.099865, -120.954858)",39.099865,-120.954858
200,200,39075,Collegeville Fire Protection District,13225 E Mariposa RD,,Stockton,CA,95215-9651,13225 E Mariposa RD,,,Stockton,CA,95215-9651,209-462-3883,209-462-3838,San Joaquin,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,0,12,0,0,5,Yes,"13225 E Mariposa RD, Stockton, CA","(37.906133, -121.149356)",37.906133,-121.149356
201,201,41030,Colma Fire Protection District,50 Reiner ST,,Colma,CA,94014,50 Reiner ST,,,Colma,CA,94014-2552,650-755-5666,650-755-5691,San Mateo,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://www.colmafire.com/,1,0,0,36,1,0,No,"50 Reiner ST, Colma, CA","(37.687567, -122.466851)",37.687567,-122.466851
202,202,55005,Columbia Fire Protection District,PO Box 311,,Columbia,CA,95310,11328 Jackson ST,,,Columbia,CA,95310-9403,209-532-3772,209-532-0788,Tuolumne,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",,1,0,0,10,0,1,,"PO Box 311, Columbia, CA","(35.662216, -82.110254)",35.662216,-82.110254
203,203,06015,Colusa Fire Department,750 Market ST,,Colusa,CA,95932-2327,750 Market ST,,,Colusa,CA,95932-2327,530-458-7721,530-458-5883,Colusa,Mostly volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",http://www.cityofcolusa.com/,1,5,15,0,0,3,Yes,"750 Market ST, Colusa, CA","(39.215175, -122.011532)",39.215175,-122.011532
204,204,36825,Combat Center Fire Department,13TH ST,BLDG 2080,Twentynine Palms,CA,92278,,,PO Box 6004,Twentynine Palms,CA,92278-6004,760-830-6871,760-830-6904,San Bernardino,Career,Federal government (Department of Defense fire department),https://29palms.usmc.mil/dirs/inl/firedept/index.asp,3,64,0,0,1,0,No,"13TH ST, Twentynine Palms, CA","(34.2321895, -116.055801330645)",34.2321895,-116.055801330645
205,205,63042,COMNAV Region Soutwest Federal Fire Department,190 K ST,,Lemoore NAS,CA,93246,190 K ST,,,Lemoore NAS,CA,93246,559-998-1705,559-998-2437,Kings,Career,Federal government (Department of Defense fire department),,2,43,0,0,6,0,,"190 K ST, Lemoore NAS, CA","(33.903443, -80.34952)",33.903443,-80.34952
206,206,23015,Comptche Volunteer Fire Department,8491 Flynn Creek RD,,Comptche,CA,95427,,,PO Box 164,Comptche,CA,95427-0164,707-937-2408,,Mendocino,Volunteer,"Local (includes career, combination, and volunteer fire departments and fire districts)",https://comptchefire.org/,1,0,32,0,0,0,Yes,"8491 Flynn Creek RD, Comptche, CA","(39.259206, -123.592057)",39.259206,-123.592057
